ID|Aktywny (0 lub 1)|Nazwa|Kategorie (x,y,z...)|Cena bez podatku. (netto)|Cena zawiera podatek. (brutto)|ID reguły podatku|Koszt własny|W sprzedaży (0 lub 1)|Wartość rabatu|Procent rabatu|Rabat od dnia (rrrr-mm-dd)|Rabat do dnia (rrrr-mm-dd)|Indeks #|Kod dostawcy|Dostawca|Marka|kod EAN13|Kod kreskowy UPC|MPN|Podatek ekologiczny|Szerokość|Wysokość|Głębokość|Waga|Czas dostawy produktów dostępnych w magazynie:|Czas dostawy wyprzedanych produktów z możliwością rezerwacji:|Ilość|Minimalna ilość|Niski poziom produktów w magazynie|Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu|Widoczność|Dodatkowe koszty przesyłki|Jednostka dla ceny za jednostkę|Cena za jednostkę|Podsumowanie|Opis|Tagi (x,y,z...)|Meta-tytuł|Słowa kluczowe meta|Opis meta|Przepisany URL|Etykieta, gdy w magazynie|Etykieta kiedy dozwolone ponowne zamówienie|Dostępne do zamówienia (0 = Nie, 1 = Tak)|Data dostępności produktu|Data wytworzenia produktu|Pokaż cenę (0 = Nie, 1 = Tak)|Adresy URL zdjęcia (x,y,z...)|Tekst alternatywny dla zdjęć (x,y,z...)|Usuń istniejące zdjęcia (0 = Nie, 1 = Tak)|Cecha(Nazwa:Wartość:Pozycja:Indywidualne)|Dostępne tylko online (0 = Nie, 1 = Tak)|Stan:|Konfigurowalny (0 = Nie, 1 = Tak)|Można wgrywać pliki (0 = Nie, 1 = Tak)|Pola tekstowe (0 = Nie, 1 = Tak)|Akcja kiedy brak na stanie|Wirtualny produkt (0 = No, 1 = Yes)|Adres URL pliku|Ilość dozwolonych pobrań|Data wygaśnięcia (rrrr-mm-dd)|Liczba dni|ID / Nazwa sklepu|Zaawansowane zarządzanie magazynem|Zależny od stanu magazynowego|Magazyn|Akcesoria (x,y,z...)
|1|Kosiarka elektryczna Sterwins 1200W|Kosiarki, traktorki, roboty koszące$Kosiarki elektryczne|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka elektryczna Gardenx TBE1332 1300W|Kosiarki, traktorki, roboty koszące$Kosiarki elektryczne|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka elektryczna NAC LE15-37-PB-S 1500W|Kosiarki, traktorki, roboty koszące$Kosiarki elektryczne|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka elektryczna Lider YK 1200W|Kosiarki, traktorki, roboty koszące$Kosiarki elektryczne|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka elektryczna Ryobi RLM3313A 1300W|Kosiarki, traktorki, roboty koszące$Kosiarki elektryczne|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka elektryczna Ryobi RLM4018 1800W|Kosiarki, traktorki, roboty koszące$Kosiarki elektryczne|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka elektryczna Gardenx TBE1636 1600W|Kosiarki, traktorki, roboty koszące$Kosiarki elektryczne|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka elektryczna NAC LE18-42-PB-KC 1800W|Kosiarki, traktorki, roboty koszące$Kosiarki elektryczne|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka elektryczna Lider YK1001 1000W|Kosiarki, traktorki, roboty koszące$Kosiarki elektryczne|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa NAC LS46-450E-HSDS-JR 1.82kW 125cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Lider SH18BS450N 1.9kW 125cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Sterwins PLM1-46B140.5 1.9kW 140cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Sterwins PLM3-56B190.5 3.2kW 190cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
