ID|Aktywny (0 lub 1)|Nazwa|Kategorie (x,y,z...)|Cena bez podatku. (netto)|ID reguły podatku|Koszt własny|W sprzedaży (0 lub 1)|Wartość rabatu|Procent rabatu|Rabat od dnia (rrrr-mm-dd)|Rabat do dnia (rrrr-mm-dd)|Indeks #|Kod dostawcy|Dostawca|Marka|kod EAN13|Kod kreskowy UPC|MPN|Podatek ekologiczny|Szerokość|Wysokość|Głębokość|Waga|Czas dostawy produktów dostępnych w magazynie:|Czas dostawy wyprzedanych produktów z możliwością rezerwacji:|Ilość|Minimalna ilość|Niski poziom produktów w magazynie|Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu|Widoczność|Dodatkowe koszty przesyłki|Jednostka dla ceny za jednostkę|Cena za jednostkę|Podsumowanie|Opis|Tagi (x,y,z...)|Meta-tytuł|Słowa kluczowe meta|Opis meta|Przepisany URL|Etykieta, gdy w magazynie|Etykieta kiedy dozwolone ponowne zamówienie|Dostępne do zamówienia (0 = Nie, 1 = Tak)|Data dostępności produktu|Data wytworzenia produktu|Pokaż cenę (0 = Nie, 1 = Tak)|Adresy URL zdjęcia (x,y,z...)|Tekst alternatywny dla zdjęć (x,y,z...)|Usuń istniejące zdjęcia (0 = Nie, 1 = Tak)|Cecha(Nazwa:Wartość:Pozycja:Indywidualne)|Dostępne tylko online (0 = Nie, 1 = Tak)|Stan:|Konfigurowalny (0 = Nie, 1 = Tak)|Można wgrywać pliki (0 = Nie, 1 = Tak)|Pola tekstowe (0 = Nie, 1 = Tak)|Akcja kiedy brak na stanie|Wirtualny produkt (0 = No, 1 = Yes)|Adres URL pliku|Ilość dozwolonych pobrań|Data wygaśnięcia (rrrr-mm-dd)|Liczba dni|ID / Nazwa sklepu|Zaawansowane zarządzanie magazynem|Zależny od stanu magazynowego|Magazyn|Akcesoria (x,y,z...)|Cena zawiera podatek. (brutto)
|1|Kosiarka akumulatorowa Ryobi OLM1833B 18V 33cm|Kosiarki akumulatorowe||1||1||||||||RYOBI||||0|72|40|40|8|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka akumulatorowa do trawy o szerokości koszenia 33 cm. Jednopunktowa, 5-stopniowa regulacja wysokości koszenia od 25 do 65 mm. Funkcja EasyEdge™ dla koszenia przy samej krawędzi. 5-stopniowa regulacja uchwytu dopasuje się do każdego użytkownika. Ergonomiczna rękojeść prowadząca przednia. Możliwość szybkiego składania kosiarki bez użycia narzędzi pozwala na łatwe przechowywanie, które nie wymaga dużo miejsca.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||688
|1|Kosiarka elektryczna Sterwins 360 1400W|Kosiarki elektryczne||1||1||||||||STERWINS||||0|40|37|72|11.830|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka elektryczna przeznaczona do pracy na powierzchni do 400 m2 to świetny wybór, jeżeli szukasz optymalnych rozwiązań. Zamontowane kółko, które obraca się o 360°, w połączeniu z większą średnicą tylnych kół - ułatwia prowadzenie kosiarki. Dzięki niemu łatwiej też ominiesz przeszkody. Kosiarka została wyposażona również w uchwyt, który w razie potrzeby pozwoli Ci wygodnie ją przenieść. A udogodnień jest znacznie więcej! Wysokość kierownicy możesz dostosować do swojego wzrostu i podczas pracy wybierać jeden spośród 4 poziomów koszenia. Gdy pojemnik będzie już napełniony, poinformuje Cię o tym kontrolka - to znak że musisz go opróżnić. Kosz wykonany z materiału i plastiku możesz złożyć, co ułatwi przechowywanie. Z kolei wyłącznik termiczny ochroni silnik przed przegrzaniem. Warto też pamiętać, że kosiarka elektryczna jest znacznie bardziej ekologiczna niż ta z silnikiem spalinowym. Kosiarka została objęta 3-letnim okresem gwarancji.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||649
|1|Kosiarka elektryczna + podkaszarka Sterwins ELM2-36P-3W.4Z|Kosiarki elektryczne||1||1||||||||STERWINS||||0|41.5|37|72|13.500|||299|1|0|0|||||<b>Testowe podsumowanie</b>|||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||399
|1|Kosiarka elektryczna Sterwins 360 1700W|Kosiarki elektryczne||1||1||||||||STERWINS||||0|47|100|75.7|15.310|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka elektryczna 1700 W przeznaczona do pracy na powierzchni do 800 m2 to świetny wybór, jeżeli szukasz optymalnych rozwiązań. Zamontowane kółko, które obraca się o 360°, w połączeniu z większą średnicą tylnych kół - ułatwia prowadzenie kosiarki. Dzięki niemu łatwiej też ominiesz przeszkody. Kosiarka została wyposażona również w uchwyt, który w razie potrzeby pozwoli Ci wygodnie ją przenieść. A udogodnień jest znacznie więcej! Wysokość kierownicy możesz dostosować do swojego wzrostu i podczas pracy wybierać jeden spośród 4 poziomów koszenia. Gdy pojemnik będzie już napełniony, oznajmi to kontrolka informująca Cię o potrzebie jego opróżnienia. Kosz wykonany z materiału i plastiku możesz złożyć, co ułatwi przechowywanie. Z kolei wyłącznik termiczny ochroni silnik przed przegrzaniem. Warto też pamiętać, że kosiarka elektryczna jest znacznie bardziej ekologiczna niż ta z silnikiem spalinowym. Kosiarka została objęta 3-letnim okresem gwarancji.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||499
|1|Kosiarka elektryczna Sterwins 1200W|Kosiarki elektryczne||1||1||||||||STERWINS||||0|42|33.0|66.0|8.131|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka STERWINS 1200 W sprawdzi się świetnie na powierzchni do 300m2. Została wyposażona w silnik elektryczny, który jest znacznie bardziej ekologiczny niż spalinowy. Model posiada uchwyt, który pozwoli Ci komfortowo ją przenosić, a także w kontrolkę informującą o napełnieniu kosza. Podczas koszenia możesz wybierać jeden z czterech poziomów wysokości, od 2,5 do 7 cm. Dzięki tym funkcjom praca będzie przebiegała sprawnie. Dodatkowo zbiornik został wykonany z plastiku i materiału, dzięki czemu bez problemu go złożysz, co oszczędzi miejsce podczas przechowywania. Jego 30-litrowa pojemność jest optymalna dla rekomendowanej powierzchni koszenia. Kosiarka została objęta gwarancją na 3 lata.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||399
|1|Kosiarka elektryczna Gardenx TBE1332 1300W|Kosiarki elektryczne||1||1||||||||GARDENX||||0|115|102|38|10.7|||299|1|0|0|||||<b>Testowe podsumowanie</b>|||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||249
|1|Kosiarka elektryczna NAC LE15-37-PB-S 1500W|Kosiarki elektryczne||1||1||||||||NAC||||0|39|100|130|9.5|||299|1|0|0|||||<b>Testowe podsumowanie</b>|||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||329
|1|Kosiarka elektryczna Lider YK 1200W|Kosiarki elektryczne||1||1||||||||LIDER||||0|40|100|100|6.9|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka elektryczna Lider YK1200 działa na silniku 1200 W. Pozwoli Ci ona na skoczenie trawnika w taki sposób, by wyglądał dokładnie tak, jak sobie tego życzyłeś. Jest to możliwe dzięki szerokości roboczej koszenia 32 cm oraz 3-stopniowej regulacji wysokości koszenia, obejmującej zakres 20-60 mm. Ścinki trawy podczas koszenia zbierane są do kosza o pojemności 30 litrów. Koła 14/14 cm zapewniają kosiarce Lider odpowiednią zwrotność i łatwość prowadzenia dla operatora. Termiczne zabezpieczenie przeciążeniowe uchroni Twój sprzęt przed przegrzaniem się i awarią. Obudowa z solidnego tworzywa sztucznego jest odporna na wstrząsy i ewentualne uszkodzenia mechaniczne, jakie mogłyby powstać podczas koszenia.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||299
|1|Kosiarka elektryczna Ryobi RLM3313A 1300W|Kosiarki elektryczne||1||1||||||||RYOBI||||0|38|36|67.1|8.8|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka elektryczna o mocy 1300W i szerokości koszenia 33 cm||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||499
|1|Kosiarka elektryczna Ryobi RLM4018 1800W|Kosiarki elektryczne||1||1||||||||RYOBI||||0|43|130|120|12.25|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Mocny silnik 1800 W z szerokością koszenia 40 cm. Koś aż do krawędzi trawnika dzięki funkcji EasyEdge. Jednopunktowa 5-cio pozycyjna regulacja wysokości koszenia w zakresie 20 mm-70 mm. Możliwość regulacji wysokości uchwytów dla lepszego dopasowania do użytkownika. Składane uchwyty i składany kosz na trawę ułatwiają przechowywanie. Kosz na trawę o pojemności 50L||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||788
|1|Kosiarka elektryczna Gardenx TBE1636 1600W|Kosiarki elektryczne||1||1||||||||GARDENX||||0|145|104|46|13|||299|1|0|0|||||<b>Testowe podsumowanie</b>|||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||388
|1|Kosiarka elektryczna NAC LE18-42-PB-KC 1800W|Kosiarki elektryczne||1||1||||||||NAC||||0|44|115|130|15.5|||299|1|0|0|||||<b>Testowe podsumowanie</b>|||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||699
|1|Kosiarka elektryczna Lider YK1001 1000W|Kosiarki elektryczne||1||1||||||||LIDER||||0|38|100|95|6.5|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka elektryczna LIDER YK1001 to sprawdzony model, który szybko i sprawnie poradzi sobie z koszeniem trawy w małych ogrodach. Do licznych zalet tego urządzenia należy między innymi wydajny silnik o mocy 1000 W, który pozwala na efektywną pracę na działce przez odpowiedni czas. Ponadto, kosiarka elektryczna LIDER YK1001 jest bardzo zwrotna, a komfort jej użytkowania zwiększają solidne kółka o średnicy 14 cm, niewielka waga (6,5 kg) oraz ergonomiczny uchwyt. Co równie ważne, model ten pozwala na 3-stopniową regulację wysokości koszenia (20-60 mm), umożliwiając jednocześnie idealne przycięcie wybranej murawy. Pojemny, plastikowy kosz (25 l) sprawia natomiast, że skoszona trawa nie będzie rozsypywać się po całym ogrodzie, dzięki czemu unikniesz żmudnego grabienia. Kosiarka elektryczna LIDER YK1001 wyróżnia się także termicznym zabezpieczeniem przeciążeniowym oraz praktyczną szerokością roboczą (31 cm), dzięki czemu w krótkim czasie wykonasz pielęgnację trawnika.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|https://i.kym-cdn.com/entries/icons/original/000/037/848/cover2.jpg|Zdjęcie pozycji|1|Cecha1:Warość1:2$Cecha2:Wartość2:1|1|new|0|0|0|0|0|||||0|0|0|0||199
